Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:instance,concept:name,lifecycle:transition,org:group,org:resource,time:timestamp
case-10263,T05 Print and send confirmation of receipt,Resource27,2011/11/30 21:02:03.222,Variant 15,15,task-47278,T05 Print and send confirmation of receipt,complete,Group 2,Resource27,2011-11-30T21:02:03.222+10:00
case-10324,Confirmation of receipt,Resource26,2011/11/04 22:05:32.854,Variant 16,16,task-45433,Confirmation of receipt,complete,Group 1,Resource26,2011-11-04T22:05:32.854+10:00
case-10324,T06 Determine necessity of stop advice,Resource26,2011/11/08 20:03:26.870,Variant 16,16,task-45435,T06 Determine necessity of stop advice,complete,Group 1,Resource26,2011-11-08T20:03:26.870+10:00
case-10324,T07-1 Draft intern advice aspect 1,Resource24,2011/12/12 21:12:42.140,Variant 16,16,task-45766,T07-1 Draft intern advice aspect 1,complete,Group 13,Resource24,2011-12-12T21:12:42.140+10:00
case-10857,Confirmation of receipt,Resource13,2012/01/05 04:36:09.258,Variant 12,12,task-49946,Confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T04:36:09.258+10:00
case-10857,T06 Determine necessity of stop advice,Resource13,2012/01/05 04:37:33.931,Variant 12,12,task-51231,T06 Determine necessity of stop advice,complete,Group 1,Resource13,2012-01-05T04:37:33.931+10:00
case-10857,T10 Determine necessity to stop indication,Resource13,2012/01/05 04:53:52.494,Variant 12,12,task-51232,T10 Determine necessity to stop indication,complete,Group 1,Resource13,2012-01-05T04:53:52.494+10:00
case-10857,T16 Report reasons to hold request,Resource13,2012/01/05 04:54:44.634,Variant 12,12,task-51233,T16 Report reasons to hold request,complete,Group 1,Resource13,2012-01-05T04:54:44.634+10:00
case-10857,T17 Check report Y to stop indication,Resource13,2012/01/05 04:55:41.647,Variant 12,12,task-51234,T17 Check report Y to stop indication,complete,EMPTY,Resource13,2012-01-05T04:55:41.647+10:00
case-10857,T19 Determine report Y to stop indication,Resource13,2012/01/05 04:56:18.050,Variant 12,12,task-51235,T19 Determine report Y to stop indication,complete,EMPTY,Resource13,2012-01-05T04:56:18.050+10:00
case-10857,T20 Print report Y to stop indication,Resource13,2012/01/05 04:56:54.192,Variant 12,12,task-51236,T20 Print report Y to stop indication,complete,Group 2,Resource13,2012-01-05T04:56:54.192+10:00
case-10857,T02 Check confirmation of receipt,Resource13,2012/01/05 17:19:19.141,Variant 12,12,task-51230,T02 Check confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T17:19:19.141+10:00
case-10857,T04 Determine confirmation of receipt,Resource13,2012/01/05 21:47:06.479,Variant 12,12,task-51250,T04 Determine confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T21:47:06.479+10:00
case-10857,T05 Print and send confirmation of receipt,Resource13,2012/01/05 21:47:44.454,Variant 12,12,task-51359,T05 Print and send confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T21:47:44.454+10:00
case-10951,Confirmation of receipt,Resource13,2012/01/05 19:24:58.463,Variant 1,1,task-50217,Confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T19:24:58.463+10:00
case-10951,T06 Determine necessity of stop advice,Resource13,2012/01/05 19:32:39.507,Variant 1,1,task-51287,T06 Determine necessity of stop advice,complete,Group 1,Resource13,2012-01-05T19:32:39.507+10:00
case-10951,T02 Check confirmation of receipt,Resource13,2012/01/05 19:33:36.161,Variant 1,1,task-51286,T02 Check confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T19:33:36.161+10:00
case-10951,T04 Determine confirmation of receipt,Resource13,2012/01/05 19:34:29.305,Variant 1,1,task-51289,T04 Determine confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T19:34:29.305+10:00
case-10951,T05 Print and send confirmation of receipt,Resource13,2012/01/05 19:36:25.145,Variant 1,1,task-51290,T05 Print and send confirmation of receipt,complete,EMPTY,Resource13,2012-01-05T19:36:25.145+10:00
case-10951,T10 Determine necessity to stop indication,Resource13,2012/01/05 19:36:53.293,Variant 1,1,task-51288,T10 Determine necessity to stop indication,complete,Group 1,Resource13,2012-01-05T19:36:53.293+10:00
case-10971,Confirmation of receipt,Resource13,2012/01/10 22:16:23.523,Variant 5,5,task-50227,Confirmation of receipt,complete,EMPTY,Resource13,2012-01-10T22:16:23.523+10:00
case-10971,T02 Check confirmation of receipt,Resource13,2012/01/10 22:19:00.861,Variant 5,5,task-51738,T02 Check confirmation of receipt,complete,EMPTY,Resource13,2012-01-10T22:19:00.861+10:00
case-10971,T04 Determine confirmation of receipt,Resource13,2012/01/10 22:21:13.637,Variant 5,5,task-51741,T04 Determine confirmation of receipt,complete,EMPTY,Resource13,2012-01-10T22:21:13.637+10:00
case-10971,T06 Determine necessity of stop advice,Resource13,2012/01/10 22:21:56.885,Variant 5,5,task-51739,T06 Determine necessity of stop advice,complete,Group 1,Resource13,2012-01-10T22:21:56.885+10:00
case-10971,T05 Print and send confirmation of receipt,Resource13,2012/01/10 22:23:49.193,Variant 5,5,task-51742,T05 Print and send confirmation of receipt,complete,EMPTY,Resource13,2012-01-10T22:23:49.193+10:00
case-10971,T10 Determine necessity to stop indication,Resource13,2012/01/10 22:26:48.822,Variant 5,5,task-51743,T10 Determine necessity to stop indication,complete,Group 1,Resource13,2012-01-10T22:26:48.822+10:00
case-11115,Confirmation of receipt,Resource13,2012/01/19 00:46:13.649,Variant 6,6,task-51224,Confirmation of receipt,complete,EMPTY,Resource13,2012-01-19T00:46:13.649+10:00
case-11115,T06 Determine necessity of stop advice,Resource13,2012/01/19 00:46:47.535,Variant 6,6,task-53208,T06 Determine necessity of stop advice,complete,Group 1,Resource13,2012-01-19T00:46:47.535+10:00
case-11115,T02 Check confirmation of receipt,Resource13,2012/01/19 00:47:30.077,Variant 6,6,task-53207,T02 Check confirmation of receipt,complete,EMPTY,Resource13,2012-01-19T00:47:30.077+10:00
case-11115,T04 Determine confirmation of receipt,Resource13,2012/01/19 00:48:12.759,Variant 6,6,task-53210,T04 Determine confirmation of receipt,complete,EMPTY,Resource13,2012-01-19T00:48:12.759+10:00
case-11115,T10 Determine necessity to stop indication,Resource13,2012/01/19 00:48:49.021,Variant 6,6,task-53209,T10 Determine necessity to stop indication,complete,Group 1,Resource13,2012-01-19T00:48:49.021+10:00
case-11115,T05 Print and send confirmation of receipt,Resource13,2012/01/19 00:49:34.655,Variant 6,6,task-53211,T05 Print and send confirmation of receipt,complete,EMPTY,Resource13,2012-01-19T00:49:34.655+10:00
case-11375,Confirmation of receipt,Resource12,2012/01/11 21:11:08.204,Variant 17,17,task-51896,Confirmation of receipt,complete,EMPTY,Resource12,2012-01-11T21:11:08.204+10:00
case-11375,T02 Check confirmation of receipt,Resource12,2012/01/11 21:12:22.011,Variant 17,17,task-51946,T02 Check confirmation of receipt,complete,Group 4,Resource12,2012-01-11T21:12:22.011+10:00
case-11375,T04 Determine confirmation of receipt,Resource12,2012/01/11 21:13:05.661,Variant 17,17,task-51948,T04 Determine confirmation of receipt,complete,Group 3,Resource12,2012-01-11T21:13:05.661+10:00
case-11375,T06 Determine necessity of stop advice,Resource12,2012/01/11 21:14:22.771,Variant 17,17,task-51947,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2012-01-11T21:14:22.771+10:00
case-11375,T10 Determine necessity to stop indication,Resource12,2012/01/11 21:16:09.310,Variant 17,17,task-51950,T10 Determine necessity to stop indication,complete,Group 1,Resource12,2012-01-11T21:16:09.310+10:00
case-11375,T16 Report reasons to hold request,Resource12,2012/01/13 16:40:31.256,Variant 17,17,task-51952,T16 Report reasons to hold request,complete,Group 1,Resource12,2012-01-13T16:40:31.256+10:00
case-11375,T17 Check report Y to stop indication,Resource12,2012/01/13 16:41:08.656,Variant 17,17,task-52236,T17 Check report Y to stop indication,complete,Group 4,Resource12,2012-01-13T16:41:08.656+10:00
case-11375,T19 Determine report Y to stop indication,Resource12,2012/01/13 16:41:41.200,Variant 17,17,task-52237,T19 Determine report Y to stop indication,complete,Group 3,Resource12,2012-01-13T16:41:41.200+10:00
case-11375,T20 Print report Y to stop indication,Resource12,2012/01/13 16:42:16.811,Variant 17,17,task-52238,T20 Print report Y to stop indication,complete,Group 2,Resource12,2012-01-13T16:42:16.811+10:00
case-11375,T05 Print and send confirmation of receipt,Resource12,2012/01/13 17:08:42.768,Variant 17,17,task-51949,T05 Print and send confirmation of receipt,complete,Group 2,Resource12,2012-01-13T17:08:42.768+10:00
case-11399,Confirmation of receipt,Resource27,2012/01/12 20:11:27.976,Variant 18,18,task-51720,Confirmation of receipt,complete,Group 1,Resource27,2012-01-12T20:11:27.976+10:00
case-11399,T06 Determine necessity of stop advice,Resource11,2012/01/12 20:18:08.932,Variant 18,18,task-52050,T06 Determine necessity of stop advice,complete,Group 1,Resource11,2012-01-12T20:18:08.932+10:00
case-11399,T02 Check confirmation of receipt,Resource11,2012/01/12 20:18:48.350,Variant 18,18,task-52049,T02 Check confirmation of receipt,complete,Group 4,Resource11,2012-01-12T20:18:48.350+10:00
case-11399,T04 Determine confirmation of receipt,Resource11,2012/01/12 20:19:40.782,Variant 18,18,task-52053,T04 Determine confirmation of receipt,complete,EMPTY,Resource11,2012-01-12T20:19:40.782+10:00
case-11399,T05 Print and send confirmation of receipt,Resource11,2012/01/12 20:20:20.992,Variant 18,18,task-52054,T05 Print and send confirmation of receipt,complete,Group 2,Resource11,2012-01-12T20:20:20.992+10:00
case-11399,T10 Determine necessity to stop indication,Resource11,2012/01/12 20:21:00.074,Variant 18,18,task-52052,T10 Determine necessity to stop indication,complete,Group 1,Resource11,2012-01-12T20:21:00.074+10:00
case-11399,T16 Report reasons to hold request,Resource11,2012/01/12 20:25:33.823,Variant 18,18,task-52056,T16 Report reasons to hold request,complete,Group 1,Resource11,2012-01-12T20:25:33.823+10:00
case-11399,T17 Check report Y to stop indication,Resource11,2012/01/12 20:26:15.750,Variant 18,18,task-52058,T17 Check report Y to stop indication,complete,Group 4,Resource11,2012-01-12T20:26:15.750+10:00
case-11399,T19 Determine report Y to stop indication,Resource11,2012/01/12 20:26:54.747,Variant 18,18,task-52059,T19 Determine report Y to stop indication,complete,Group 3,Resource11,2012-01-12T20:26:54.747+10:00
case-11399,T20 Print report Y to stop indication,Resource11,2012/01/12 20:27:40.453,Variant 18,18,task-52060,T20 Print report Y to stop indication,complete,Group 2,Resource11,2012-01-12T20:27:40.453+10:00
case-3766,Confirmation of receipt,Resource08,2010/10/05 21:01:58.437,Variant 2,2,task-35,Confirmation of receipt,complete,EMPTY,Resource08,2010-10-05T21:01:58.437+10:00
case-3766,T06 Determine necessity of stop advice,Resource08,2010/10/05 21:07:35.391,Variant 2,2,task-67,T06 Determine necessity of stop advice,complete,Group 1,Resource08,2010-10-05T21:07:35.391+10:00
case-3766,T10 Determine necessity to stop indication,Resource08,2010/10/05 21:08:22.858,Variant 2,2,task-68,T10 Determine necessity to stop indication,complete,Group 1,Resource08,2010-10-05T21:08:22.858+10:00
case-3766,T02 Check confirmation of receipt,Resource24,2010/10/05 23:03:36.552,Variant 2,2,task-66,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-10-05T23:03:36.552+10:00
case-3766,T03 Adjust confirmation of receipt,Resource08,2010/10/05 23:22:03.157,Variant 2,2,task-81,T03 Adjust confirmation of receipt,complete,Group 1,Resource08,2010-10-05T23:22:03.157+10:00
case-3766,T02 Check confirmation of receipt,Resource24,2010/10/05 23:26:38.519,Variant 2,2,task-84,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-10-05T23:26:38.519+10:00
case-3766,T04 Determine confirmation of receipt,Resource19,2010/10/06 17:12:49.541,Variant 2,2,task-86,T04 Determine confirmation of receipt,complete,EMPTY,Resource19,2010-10-06T17:12:49.541+10:00
case-3766,T05 Print and send confirmation of receipt,Resource08,2010/10/07 23:16:55.755,Variant 2,2,task-96,T05 Print and send confirmation of receipt,complete,Group 2,Resource08,2010-10-07T23:16:55.755+10:00
case-3818,Confirmation of receipt,Resource12,2010/10/18 17:24:27.073,Variant 19,19,task-128,Confirmation of receipt,complete,Group 1,Resource12,2010-10-18T17:24:27.073+10:00
case-3818,T06 Determine necessity of stop advice,Resource12,2010/10/18 18:45:17.970,Variant 19,19,task-273,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-10-18T18:45:17.970+10:00
case-3818,T02 Check confirmation of receipt,Resource26,2010/10/18 19:25:15.229,Variant 19,19,task-272,T02 Check confirmation of receipt,complete,EMPTY,Resource26,2010-10-18T19:25:15.229+10:00
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/18 20:27:27.873,Variant 19,19,task-277,T03 Adjust confirmation of receipt,complete,Group 1,Resource12,2010-10-18T20:27:27.873+10:00
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/20 20:18:19.102,Variant 19,19,task-280,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-10-20T20:18:19.102+10:00
case-3818,T07-5 Draft intern advice aspect 5,Resource12,2010/10/21 16:14:04.349,Variant 19,19,task-275,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-10-21T16:14:04.349+10:00
case-3818,T06 Determine necessity of stop advice,Resource12,2010/10/21 16:36:37.616,Variant 19,19,task-333,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-10-21T16:36:37.616+10:00
case-3818,T10 Determine necessity to stop indication,Resource12,2010/10/21 16:37:49.327,Variant 19,19,task-334,T10 Determine necessity to stop indication,complete,Group 1,Resource12,2010-10-21T16:37:49.327+10:00
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/21 17:23:05.590,Variant 19,19,task-312,T03 Adjust confirmation of receipt,complete,Group 1,Resource12,2010-10-21T17:23:05.590+10:00
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/21 19:40:14.028,Variant 19,19,task-350,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-10-21T19:40:14.028+10:00
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/21 19:47:50.697,Variant 19,19,task-358,T03 Adjust confirmation of receipt,complete,Group 1,Resource12,2010-10-21T19:47:50.697+10:00
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/21 19:50:06.814,Variant 19,19,task-359,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-10-21T19:50:06.814+10:00
case-3818,T04 Determine confirmation of receipt,Resource10,2010/10/22 21:21:52.847,Variant 19,19,task-360,T04 Determine confirmation of receipt,complete,Group 3,Resource10,2010-10-22T21:21:52.847+10:00
case-3818,T05 Print and send confirmation of receipt,Resource20,2010/10/25 19:52:01.185,Variant 19,19,task-432,T05 Print and send confirmation of receipt,complete,Group 2,Resource20,2010-10-25T19:52:01.185+10:00
case-3877,Confirmation of receipt,Resource12,2010/11/01 19:37:56.964,Variant 20,20,task-187,Confirmation of receipt,complete,Group 1,Resource12,2010-11-01T19:37:56.964+10:00
case-3877,T06 Determine necessity of stop advice,Resource12,2010/11/02 19:38:19.621,Variant 20,20,task-609,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-11-02T19:38:19.621+10:00
case-3877,T02 Check confirmation of receipt,Resource12,2010/11/02 19:41:42.166,Variant 20,20,task-608,T02 Check confirmation of receipt,complete,EMPTY,Resource12,2010-11-02T19:41:42.166+10:00
case-3877,T04 Determine confirmation of receipt,Resource12,2010/11/02 19:42:47.991,Variant 20,20,task-706,T04 Determine confirmation of receipt,complete,EMPTY,Resource12,2010-11-02T19:42:47.991+10:00
case-3877,T05 Print and send confirmation of receipt,Resource20,2010/11/03 17:46:54.881,Variant 20,20,task-707,T05 Print and send confirmation of receipt,complete,Group 2,Resource20,2010-11-03T17:46:54.881+10:00
case-3877,T08 Draft and send request for advice,Resource12,2010/11/03 19:06:27.156,Variant 20,20,task-704,T08 Draft and send request for advice,complete,Group 1,Resource12,2010-11-03T19:06:27.156+10:00
case-3877,T07-5 Draft intern advice aspect 5,Resource12,2010/11/03 19:06:46.745,Variant 20,20,task-705,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-11-03T19:06:46.745+10:00
case-3877,T09-4 Process or receive external advice from party 4,Resource12,2010/11/03 19:07:03.160,Variant 20,20,task-785,T09-4 Process or receive external advice from party 4,complete,Group 1,Resource12,2010-11-03T19:07:03.160+10:00
case-3877,T06 Determine necessity of stop advice,Resource12,2010/11/03 19:07:47.559,Variant 20,20,task-786,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-11-03T19:07:47.559+10:00
case-3877,T10 Determine necessity to stop indication,Resource12,2010/11/03 19:08:13.786,Variant 20,20,task-787,T10 Determine necessity to stop indication,complete,Group 1,Resource12,2010-11-03T19:08:13.786+10:00
case-3926,Confirmation of receipt,Resource02,2010/11/04 20:33:28.141,Variant 21,21,task-238,Confirmation of receipt,complete,Group 1,Resource02,2010-11-04T20:33:28.141+10:00
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/04 23:01:34.394,Variant 21,21,task-878,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-11-04T23:01:34.394+10:00
case-3926,T06 Determine necessity of stop advice,Resource02,2010/11/04 23:59:41.086,Variant 21,21,task-879,T06 Determine necessity of stop advice,complete,Group 1,Resource02,2010-11-04T23:59:41.086+10:00
case-3926,T10 Determine necessity to stop indication,Resource02,2010/11/05 00:01:20.367,Variant 21,21,task-968,T10 Determine necessity to stop indication,complete,Group 1,Resource02,2010-11-05T00:01:20.367+10:00
case-3926,T03 Adjust confirmation of receipt,Resource02,2010/11/05 00:14:32.442,Variant 21,21,task-944,T03 Adjust confirmation of receipt,complete,Group 1,Resource02,2010-11-05T00:14:32.442+10:00
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/05 00:51:18.204,Variant 21,21,task-981,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-11-05T00:51:18.204+10:00
case-3926,T03 Adjust confirmation of receipt,Resource02,2010/11/05 17:25:01.081,Variant 21,21,task-996,T03 Adjust confirmation of receipt,complete,Group 1,Resource02,2010-11-05T17:25:01.081+10:00
case-3926,T02 Check confirmation of receipt,Resource24,2010/11/05 18:34:08.144,Variant 21,21,task-1010,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-11-05T18:34:08.144+10:00
case-3926,T04 Determine confirmation of receipt,Resource10,2010/11/12 00:04:26.194,Variant 21,21,task-1019,T04 Determine confirmation of receipt,complete,Group 3,Resource10,2010-11-12T00:04:26.194+10:00
case-3926,T05 Print and send confirmation of receipt,admin1,2010/11/16 19:09:08.525,Variant 21,21,task-1405,T05 Print and send confirmation of receipt,complete,Group 2,admin1,2010-11-16T19:09:08.525+10:00
case-3983,Confirmation of receipt,Resource06,2010/11/25 17:59:33.164,Variant 22,22,task-300,Confirmation of receipt,complete,Group 1,Resource06,2010-11-25T17:59:33.164+10:00
case-3983,T02 Check confirmation of receipt,Resource04,2010/11/25 18:01:56.987,Variant 22,22,task-2018,T02 Check confirmation of receipt,complete,EMPTY,Resource04,2010-11-25T18:01:56.987+10:00
case-3983,T03 Adjust confirmation of receipt,Resource06,2010/11/25 18:07:20.020,Variant 22,22,task-2022,T03 Adjust confirmation of receipt,complete,Group 1,Resource06,2010-11-25T18:07:20.020+10:00
case-3983,T02 Check confirmation of receipt,Resource06,2010/11/25 18:07:47.085,Variant 22,22,task-2024,T02 Check confirmation of receipt,complete,Group 4,Resource06,2010-11-25T18:07:47.085+10:00
case-3983,T04 Determine confirmation of receipt,Resource06,2010/11/25 18:08:09.843,Variant 22,22,task-2025,T04 Determine confirmation of receipt,complete,Group 3,Resource06,2010-11-25T18:08:09.843+10:00
case-3983,T06 Determine necessity of stop advice,Resource06,2010/11/25 18:08:35.547,Variant 22,22,task-2019,T06 Determine necessity of stop advice,complete,Group 1,Resource06,2010-11-25T18:08:35.547+10:00
case-3983,T10 Determine necessity to stop indication,Resource06,2010/11/25 18:08:59.165,Variant 22,22,task-2027,T10 Determine necessity to stop indication,complete,Group 1,Resource06,2010-11-25T18:08:59.165+10:00
case-3983,T05 Print and send confirmation of receipt,admin1,2010/11/30 18:31:08.264,Variant 22,22,task-2026,T05 Print and send confirmation of receipt,complete,Group 2,admin1,2010-11-30T18:31:08.264+10:00
case-3991,Confirmation of receipt,Resource04,2010/10/22 19:17:05.605,Variant 6,6,task-310,Confirmation of receipt,complete,Group 1,Resource04,2010-10-22T19:17:05.605+10:00
case-3991,T06 Determine necessity of stop advice,Resource04,2010/10/22 19:23:44.282,Variant 6,6,task-410,T06 Determine necessity of stop advice,complete,Group 1,Resource04,2010-10-22T19:23:44.282+10:00
case-3991,T02 Check confirmation of receipt,Resource04,2010/10/22 19:23:58.873,Variant 6,6,task-409,T02 Check confirmation of receipt,complete,Group 4,Resource04,2010-10-22T19:23:58.873+10:00
case-3991,T04 Determine confirmation of receipt,Resource04,2010/10/22 19:24:08.474,Variant 6,6,task-412,T04 Determine confirmation of receipt,complete,Group 3,Resource04,2010-10-22T19:24:08.474+10:00
case-3991,T10 Determine necessity to stop indication,Resource04,2010/10/22 19:30:31.019,Variant 6,6,task-411,T10 Determine necessity to stop indication,complete,Group 1,Resource04,2010-10-22T19:30:31.019+10:00
case-3991,T05 Print and send confirmation of receipt,Resource04,2010/10/22 19:34:43.024,Variant 6,6,task-413,T05 Print and send confirmation of receipt,complete,Group 2,Resource04,2010-10-22T19:34:43.024+10:00
case-4000,Confirmation of receipt,Resource17,2010/11/04 20:45:14.018,Variant 2,2,task-325,Confirmation of receipt,complete,Group 1,Resource17,2010-11-04T20:45:14.018+10:00
case-4000,T06 Determine necessity of stop advice,Resource17,2010/11/04 20:45:48.226,Variant 2,2,task-891,T06 Determine necessity of stop advice,complete,Group 1,Resource17,2010-11-04T20:45:48.226+10:00
case-4000,T10 Determine necessity to stop indication,Resource17,2010/11/04 20:46:07.945,Variant 2,2,task-892,T10 Determine necessity to stop indication,complete,Group 1,Resource17,2010-11-04T20:46:07.945+10:00
