Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,oranization country,org:group,org:role,organization country,organization involved,product,resource country
1-270427461,Accepted-In Progress,Tomas,2008/11/13 18:01:04.000,Variant 22,22,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-270427461,Accepted-Wait,Tomas,2009/12/02 21:24:35.000,Variant 22,22,Accepted,Low,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-270427461,Accepted-In Progress,Tomas,2011/11/14 22:57:27.000,Variant 22,22,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-In Progress,Tomas,2010/01/14 17:34:54.000,Variant 58,58,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Wait,Tomas,2010/01/27 17:43:29.000,Variant 58,58,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Assigned,Tomas,2010/02/03 17:20:05.000,Variant 58,58,Accepted,Medium,Assigned,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Wait,Tomas,2010/02/22 15:33:08.000,Variant 58,58,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-In Progress,Tomas,2011/09/02 06:17:47.000,Variant 58,58,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-351314317,Accepted-In Progress,Ewa,2010/02/03 16:34:32.000,Variant 59,59,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Queued-Awaiting Assignment,Ewa,2010/02/03 16:45:18.000,Variant 59,59,Queued,Medium,Awaiting Assignment,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2010/02/03 17:40:51.000,Variant 59,59,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-Assigned,Ewa,2010/02/03 17:40:58.000,Variant 59,59,Accepted,Medium,Assigned,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2011/12/21 05:25:19.000,Variant 59,59,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Completed-Closed,Ewa,2012/01/03 20:13:02.000,Variant 59,59,Completed,Medium,Closed,us,Org line A2,A2_2,,,PROD98,POLAND
1-354039443,Accepted-In Progress,Ewa,2011/12/28 22:05:47.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-354039443,Completed-Closed,Ewa,2012/01/30 19:29:51.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-354350908,Accepted-Wait,Tomas,2010/02/16 18:03:41.000,Variant 52,52,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354350908,Accepted-In Progress,Tomas,2011/09/02 06:16:31.000,Variant 52,52,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354376900,Accepted-Wait,Tomas,2010/02/16 18:04:37.000,Variant 52,52,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354376900,Accepted-In Progress,Tomas,2011/09/02 06:16:15.000,Variant 52,52,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-357087417,Accepted-In Progress,Ewa,2011/12/28 23:01:17.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-357087417,Completed-Closed,Ewa,2012/01/30 19:30:21.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-359841262,Accepted-In Progress,Tomas,2010/03/11 21:06:34.000,Variant 60,60,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Tomas,2010/03/11 21:10:10.000,Variant 60,60,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Queued-Awaiting Assignment,Tomas,2010/03/11 21:12:19.000,Variant 60,60,Queued,High,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Pawel,2010/03/11 21:12:35.000,Variant 60,60,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-359841262,Queued-Awaiting Assignment,Tomas,2010/03/11 21:12:46.000,Variant 60,60,Queued,High,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Pawel,2010/03/11 21:13:02.000,Variant 60,60,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-359841262,Accepted-Assigned,Tomas,2010/07/20 15:25:18.000,Variant 60,60,Accepted,High,Assigned,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Tomas,2011/09/05 15:28:42.000,Variant 60,60,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-360072755,Queued-Awaiting Assignment,Tomas,2010/08/25 17:04:56.000,Variant 61,61,Queued,Medium,Awaiting Assignment,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-In Progress,Tomas,2011/09/03 13:49:00.000,Variant 61,61,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-Assigned,Niklas,2011/11/14 23:10:03.000,Variant 61,61,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-Wait,Niklas,2012/01/12 16:23:04.000,Variant 61,61,Accepted,Medium,Wait,se,Org line A2,A2_2,,,PROD681,Sweden
1-360464815,Accepted-In Progress,Panigrahy,2010/03/15 21:40:16.000,Variant 16,16,Accepted,Medium,In Progress,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Accepted-Wait,Panigrahy,2010/04/15 22:32:45.000,Variant 16,16,Accepted,Medium,Wait,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Accepted-In Progress,Panigrahy,2011/06/09 17:37:15.000,Variant 16,16,Accepted,Medium,In Progress,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Completed-Closed,Panigrahy,2012/02/21 21:57:48.000,Variant 16,16,Completed,Medium,Closed,in,Org line A2,D_1,,,PROD611,Sweden
1-363206822,Accepted-In Progress,Pawel,2010/03/26 21:03:21.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-363206822,Accepted-In Progress,Pawel,2010/03/26 21:05:35.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-363206822,Queued-Awaiting Assignment,Tomas,2010/03/26 21:05:48.000,Variant 34,34,Queued,Low,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-363206822,Accepted-In Progress,Tomas,2011/09/05 15:28:50.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-363549934,Accepted-In Progress,Ewa,2012/01/19 17:09:44.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-363549934,Completed-Closed,Ewa,2012/01/19 17:10:41.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-364528467,Accepted-In Progress,Ewa,2012/01/19 17:14:11.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-364528467,Completed-Closed,Ewa,2012/01/19 17:14:18.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-366584206,Accepted-In Progress,Ewa,2012/01/09 18:25:49.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-366584206,Completed-Closed,Ewa,2012/01/09 18:25:51.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-366698569,Accepted-In Progress,Jerker,2010/04/13 20:37:07.000,Variant 10,10,Accepted,High,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366698569,Accepted-In Progress,Jerker,2010/04/19 22:59:00.000,Variant 10,10,Accepted,High,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366726662,Accepted-In Progress,Jerker,2010/04/13 20:50:15.000,Variant 10,10,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366726662,Accepted-In Progress,Jerker,2010/04/19 22:59:58.000,Variant 10,10,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366923538,Accepted-In Progress,Ewa,2012/01/04 23:55:26.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-366923538,Completed-Closed,Ewa,2012/01/30 21:05:58.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-367921041,Queued-Awaiting Assignment,Srinivasan,2011/08/25 03:27:17.000,Variant 62,62,Queued,Medium,Awaiting Assignment,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-In Progress,Aneesh V,2011/08/29 10:54:38.000,Variant 62,62,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-Assigned,Rijin,2011/08/29 10:55:29.000,Variant 62,62,Accepted,Medium,Assigned,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-In Progress,Rijin,2011/08/29 20:48:47.000,Variant 62,62,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-Assigned,Aneesh V,2011/11/11 22:57:44.000,Variant 62,62,Accepted,Medium,Assigned,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-Wait,Aneesh V,2011/11/21 15:27:41.000,Variant 62,62,Accepted,Medium,Wait,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Accepted-In Progress,Aneesh V,2012/03/01 00:54:59.000,Variant 62,62,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD262,INDIA
1-367921041,Completed-Closed,Aneesh V,2012/03/01 00:56:23.000,Variant 62,62,Completed,Medium,Closed,in,Org line B,E_10,,,PROD262,INDIA
1-370436092,Accepted-In Progress,Celine,2010/04/29 15:23:20.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Queued-Awaiting Assignment,Celine,2010/04/29 15:23:56.000,Variant 42,42,Queued,Major,Awaiting Assignment,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Accepted-In Progress,Celine,2010/05/04 20:28:29.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Accepted-In Progress,Celine,2010/11/10 01:47:12.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-372029512,Accepted-Assigned,Tomas,2010/10/19 20:43:59.000,Variant 55,55,Accepted,Low,Assigned,se,Org line C,C_6,,,PROD660,Sweden
1-372029512,Accepted-Wait,Tomas,2011/10/20 20:21:34.000,Variant 55,55,Accepted,Low,Wait,se,Org line C,C_6,,,PROD660,Sweden
1-372029512,Completed-Closed,Tomas,2012/01/30 20:18:55.000,Variant 55,55,Completed,Low,Closed,se,Org line C,C_6,,,PROD660,Sweden
1-372978779,Accepted-In Progress,Ewa,2012/01/30 20:58:10.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-372978779,Completed-Closed,Ewa,2012/01/30 21:38:43.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-373110819,Accepted-In Progress,Ewa,2012/02/03 14:48:56.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-373110819,Completed-Closed,Ewa,2012/02/03 14:50:31.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-373268674,Accepted-In Progress,Ewa,2012/02/03 14:51:00.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-373268674,Completed-Closed,Ewa,2012/02/03 14:52:14.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-373413519,Accepted-In Progress,Ewa,2012/01/30 19:59:22.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-373413519,Completed-Closed,Ewa,2012/01/30 20:00:09.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-373413971,Accepted-In Progress,Ewa,2012/02/03 14:54:21.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-373413971,Completed-Closed,Ewa,2012/02/04 15:48:35.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-374832944,Accepted-Assigned,Anna,2011/11/02 00:30:00.000,Variant 18,18,Accepted,Low,Assigned,in,Org line C,E_7,,,PROD660,Sweden
1-374832944,Accepted-In Progress,Anna,2012/02/01 20:57:19.000,Variant 18,18,Accepted,Low,In Progress,in,Org line C,E_7,,,PROD660,Sweden
1-374832944,Completed-Closed,Anna,2012/02/01 20:58:08.000,Variant 18,18,Completed,Low,Closed,in,Org line C,E_7,,,PROD660,Sweden
1-375644051,Accepted-In Progress,Sumesh,2010/05/25 18:42:48.000,Variant 63,63,Accepted,Medium,In Progress,se,Org line C,E_10,,,PROD698,0
1-375644051,Accepted-Wait,Sumesh,2010/05/25 18:49:29.000,Variant 63,63,Accepted,Medium,Wait,se,Org line C,E_10,,,PROD698,0
1-375644051,Accepted-In Progress,Sumesh,2011/06/29 22:13:19.000,Variant 63,63,Accepted,Medium,In Progress,se,Org line C,E_10,,,PROD698,0
1-375644051,Queued-Awaiting Assignment,Prasad,2011/11/23 19:47:29.000,Variant 63,63,Queued,Medium,Awaiting Assignment,se,Org line C,E_10,,,PROD698,Sweden
1-378050311,Accepted-In Progress,Peter,2010/06/22 17:37:32.000,Variant 64,64,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/07/09 17:03:29.000,Variant 64,64,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/07/09 17:05:10.000,Variant 64,64,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/11/08 20:35:26.000,Variant 64,64,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Queued-Awaiting Assignment,Craig,2011/11/30 20:59:57.000,Variant 64,64,Queued,High,Awaiting Assignment,se,Org line F,,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Stefan,2012/02/27 15:12:23.000,Variant 64,64,Accepted,High,In Progress,se,Org line F,,,,PROD153,Sweden
1-378050311,Completed-Closed,Stefan,2012/02/27 15:13:44.000,Variant 64,64,Completed,High,Closed,se,Org line F,,,,PROD153,Sweden
1-378744625,Accepted-Assigned,Anna,2011/11/02 00:29:39.000,Variant 18,18,Accepted,Medium,Assigned,in,Org line C,E_7,,,PROD660,Sweden
1-378744625,Accepted-In Progress,Anna,2012/02/01 20:59:45.000,Variant 18,18,Accepted,Medium,In Progress,in,Org line C,E_7,,,PROD660,Sweden
1-378744625,Completed-Closed,Anna,2012/02/01 20:59:47.000,Variant 18,18,Completed,Medium,Closed,in,Org line C,E_7,,,PROD660,Sweden
1-380392616,Accepted-In Progress,Ewa,2012/02/04 16:20:39.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-380392616,Completed-Closed,Ewa,2012/02/04 17:19:57.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-380527184,Accepted-In Progress,Ewa,2012/02/04 17:20:08.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-380527184,Completed-Closed,Ewa,2012/02/04 17:31:43.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-380632889,Accepted-In Progress,David,2010/06/16 22:09:45.000,Variant 5,5,Accepted,High,In Progress,se,Org line G4,,,,PROD551,Sweden
1-380632889,Queued-Awaiting Assignment,David,2010/08/16 18:24:39.000,Variant 5,5,Queued,High,Awaiting Assignment,se,Org line G4,,,,PROD551,Sweden
1-380654568,Accepted-In Progress,Ewa,2011/12/30 18:09:26.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-380654568,Completed-Closed,Ewa,2012/01/30 19:31:24.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-382209384,Accepted-In Progress,Tomas,2010/06/23 20:13:51.000,Variant 21,21,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-382209384,Accepted-In Progress,Tomas,2011/09/03 13:46:51.000,Variant 21,21,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-382209384,Accepted-Assigned,Niklas,2011/11/14 23:10:10.000,Variant 21,21,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-382442048,Accepted-In Progress,Ewa,2012/02/04 17:27:58.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-382442048,Completed-Closed,Ewa,2012/02/04 17:30:03.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-384097130,Accepted-Assigned,Jonas,2011/03/10 23:02:06.000,Variant 65,65,Accepted,Medium,Assigned,se,Org line C,C_6,,,PROD660,Sweden
1-384097130,Accepted-In Progress,Jonas,2011/03/29 16:44:20.000,Variant 65,65,Accepted,Medium,In Progress,se,Org line C,C_6,,,PROD660,Sweden
1-384097130,Accepted-Wait,Jonas,2011/04/13 21:23:07.000,Variant 65,65,Accepted,Medium,Wait,se,Org line C,C_6,,,PROD660,Sweden
1-384757914,Accepted-In Progress,Ewa,2012/02/04 17:31:58.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-384757914,Completed-Closed,Ewa,2012/02/04 17:37:38.000,Variant 1,1,Completed,Medium,Closed,us,Org line A2,A2_2,,,PROD98,POLAND
1-385201933,Accepted-In Progress,Joakim,2010/07/08 10:50:41.000,Variant 66,66,Accepted,High,In Progress,se,Org line G4,,,,PROD374,Sweden
1-385201933,Queued-Awaiting Assignment,Joakim,2010/07/08 11:04:25.000,Variant 66,66,Queued,High,Awaiting Assignment,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-Assigned,Per,2010/09/07 19:57:19.000,Variant 66,66,Accepted,High,Assigned,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-In Progress,Per,2010/09/23 16:26:35.000,Variant 66,66,Accepted,High,In Progress,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-Wait,Per,2010/12/05 20:27:07.000,Variant 66,66,Accepted,High,Wait,se,Org line G4,,,,PROD374,Sweden
1-385201933,Completed-Closed,Per,2012/01/26 18:39:55.000,Variant 66,66,Completed,High,Closed,se,Org line G4,,,,PROD374,Sweden
1-385311756,Accepted-In Progress,Ewa,2012/02/04 17:38:18.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-385311756,Completed-Closed,Ewa,2012/02/04 17:40:10.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-388644366,Accepted-In Progress,Ewa,2012/01/30 22:48:15.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-388644366,Completed-Closed,Ewa,2012/01/30 22:48:48.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-390250582,Accepted-In Progress,Stephen,2010/08/09 23:21:55.000,Variant 67,67,Accepted,Low,In Progress,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-Wait,Stephen,2010/08/12 21:09:54.000,Variant 67,67,Accepted,Low,Wait,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-Assigned,Stephen,2010/08/18 17:28:48.000,Variant 67,67,Accepted,Low,Assigned,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-In Progress,Stephen,2010/08/18 21:42:02.000,Variant 67,67,Accepted,Low,In Progress,se,Org line C,C_6,,,PROD424,USA
1-390722958,Accepted-In Progress,Christer,2010/08/11 16:39:44.000,Variant 8,8,Accepted,Low,In Progress,se,Org line G4,,,,PROD412,Sweden
1-390722958,Accepted-Assigned,Christer,2012/01/16 21:43:19.000,Variant 8,8,Accepted,Low,Assigned,se,Org line G4,,,,PROD412,Sweden
1-390722958,Accepted-In Progress,Christer,2012/03/23 20:53:11.000,Variant 8,8,Accepted,Low,In Progress,se,Org line G4,,,,PROD412,Sweden
1-390722958,Completed-Closed,Christer,2012/03/23 20:54:08.000,Variant 8,8,Completed,Low,Closed,se,Org line G4,,,,PROD412,Sweden
1-392812598,Accepted-In Progress,Ewa,2012/01/04 23:58:37.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-392812598,Completed-Closed,Ewa,2012/01/04 23:59:08.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-397446945,Accepted-In Progress,Ewa,2012/01/31 16:01:21.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-397446945,Completed-Closed,Ewa,2012/01/31 16:02:46.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
1-399013423,Queued-Awaiting Assignment,Ing-Marie,2010/09/06 18:04:31.000,Variant 9,9,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD821,Sweden
1-399628501,Accepted-In Progress,David,2010/09/07 21:19:41.000,Variant 3,3,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
1-399628501,Accepted-Assigned,David,2010/12/02 18:45:01.000,Variant 3,3,Accepted,Medium,Assigned,se,Org line G4,,,,PROD368,Sweden
1-402328919,Accepted-In Progress,Tomas,2010/09/16 22:39:32.000,Variant 1,1,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-402328919,Completed-Closed,Tomas,2012/05/29 16:32:02.000,Variant 1,1,Completed,Low,Closed,cn,Org line A2,A2_2,,,PROD753,Sweden
1-403006315,Accepted-In Progress,Ewa,2012/01/31 16:54:38.000,Variant 1,1,Accepted,Medium,In Progress,us,Org line G3,,,,PROD98,POLAND
1-403006315,Completed-Closed,Ewa,2012/01/31 16:59:04.000,Variant 1,1,Completed,Medium,Closed,us,Org line G3,,,,PROD98,POLAND
