Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-357087417,Completed-Closed,Ewa,2012/01/30 19:30:21.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-363549934,Accepted-In Progress,Carolyn,2010/03/29 17:38:31.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-363549934,Queued-Awaiting Assignment,Carolyn,2010/03/29 17:41:32.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-363549934,Accepted-In Progress,Kannan,2010/03/29 19:30:54.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-363549934,Accepted-Assigned,Carolyn,2010/03/29 19:30:58.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-363549934,Accepted-In Progress,Ewa,2012/01/19 17:09:44.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-363549934,Completed-Closed,Ewa,2012/01/19 17:10:41.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-365702595,Accepted-In Progress,Carolyn,2010/04/08 18:07:36.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-365702595,Queued-Awaiting Assignment,Carolyn,2010/04/08 18:09:05.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-365702595,Accepted-In Progress,Kannan,2010/04/09 01:33:49.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-365702595,Accepted-Assigned,Carolyn,2010/04/09 01:33:54.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-365702595,Accepted-In Progress,Ewa,2011/12/30 17:00:16.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-365702595,Completed-Closed,Ewa,2012/01/04 23:49:12.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-366509892,Accepted-In Progress,Carolyn,2010/04/13 03:37:25.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-366509892,Queued-Awaiting Assignment,Carolyn,2010/04/13 03:47:56.000,Variant 1,1,Queued,Low,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-366509892,Accepted-In Progress,Kannan,2010/04/13 20:56:39.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-366509892,Accepted-Assigned,Carolyn,2010/04/13 20:56:44.000,Variant 1,1,Accepted,Low,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-366509892,Accepted-In Progress,Ewa,2012/01/30 19:42:19.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-366509892,Completed-Closed,Ewa,2012/01/30 19:42:50.000,Variant 1,1,Completed,Low,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-366584206,Accepted-In Progress,Carolyn,2010/04/13 15:38:30.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-366584206,Queued-Awaiting Assignment,Carolyn,2010/04/13 15:44:30.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-366584206,Accepted-In Progress,Kannan,2010/04/13 20:59:01.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-366584206,Accepted-Assigned,Carolyn,2010/04/13 20:59:07.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-366584206,Accepted-In Progress,Ewa,2012/01/09 18:25:49.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-366584206,Completed-Closed,Ewa,2012/01/09 18:25:51.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-367648732,Accepted-In Progress,Carolyn,2010/04/17 00:34:49.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD95,USA
1-367648732,Queued-Awaiting Assignment,Carolyn,2010/04/17 00:42:36.000,Variant 1,1,Queued,Low,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD95,USA
1-367648732,Accepted-In Progress,Naga,2010/04/17 07:40:43.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD95,Sweden
1-367648732,Accepted-Assigned,Carolyn,2010/04/17 07:42:50.000,Variant 1,1,Accepted,Low,Assigned,Org line G3,,us,G199 3rd,PROD95,USA
1-367648732,Accepted-In Progress,Ewa,2012/01/30 19:43:05.000,Variant 1,1,Accepted,Low,In Progress,Org line G3,,us,G199 3rd,PROD95,POLAND
1-367648732,Completed-Closed,Ewa,2012/01/30 19:44:31.000,Variant 1,1,Completed,Low,Closed,Org line G3,,us,G199 3rd,PROD95,POLAND
1-368929048,Accepted-In Progress,Carolyn,2010/04/22 21:51:56.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-368929048,Queued-Awaiting Assignment,Carolyn,2010/04/22 22:08:11.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-368929048,Accepted-In Progress,Naga,2010/04/23 02:19:48.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-368929048,Accepted-Assigned,Carolyn,2010/04/23 02:23:29.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-368929048,Accepted-In Progress,Ewa,2012/01/31 16:06:12.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-368929048,Completed-Closed,Ewa,2012/01/31 16:36:08.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-369693874,Accepted-In Progress,Carolyn,2010/04/26 22:41:03.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-369693874,Queued-Awaiting Assignment,Carolyn,2010/04/26 22:44:34.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-369693874,Accepted-In Progress,Naga,2010/04/27 02:08:15.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-369693874,Accepted-Assigned,Carolyn,2010/04/27 02:12:24.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-369693874,Accepted-In Progress,Ewa,2011/12/21 05:24:04.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-369693874,Completed-Closed,Ewa,2012/01/05 23:11:34.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-371498622,Accepted-In Progress,Carolyn,2010/05/05 00:15:44.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-371498622,Queued-Awaiting Assignment,Carolyn,2010/05/05 00:23:17.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-371498622,Accepted-In Progress,Naga,2010/05/05 00:24:58.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-371498622,Accepted-Assigned,Carolyn,2010/05/05 00:27:46.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-371498622,Accepted-In Progress,Ewa,2012/01/18 17:30:42.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-371498622,Completed-Closed,Ewa,2012/01/18 17:31:12.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-371672096,Accepted-In Progress,Carolyn,2010/05/05 19:44:03.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-371672096,Queued-Awaiting Assignment,Carolyn,2010/05/05 20:24:34.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-371672096,Accepted-In Progress,Kannan,2010/05/05 22:09:25.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-371672096,Accepted-Assigned,Carolyn,2010/05/05 22:09:30.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-371672096,Accepted-In Progress,Ewa,2012/02/04 15:57:22.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-371672096,Completed-Closed,Ewa,2012/02/04 16:10:51.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-372579132,Accepted-In Progress,Carolyn,2010/05/10 20:01:38.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-372579132,Queued-Awaiting Assignment,Carolyn,2010/05/10 20:07:54.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-372579132,Accepted-In Progress,Naga,2010/05/11 02:36:38.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-372579132,Accepted-Assigned,Carolyn,2010/05/11 02:41:50.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-372579132,Accepted-In Progress,Ewa,2012/02/03 05:52:05.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-372579132,Completed-Closed,Ewa,2012/02/04 15:56:49.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-372858362,Accepted-In Progress,Carolyn,2010/05/11 21:11:58.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-372858362,Queued-Awaiting Assignment,Carolyn,2010/05/11 21:13:34.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-372858362,Accepted-In Progress,Naga,2010/05/12 03:18:30.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-372858362,Accepted-Assigned,Carolyn,2010/05/12 03:25:17.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-372858362,Accepted-In Progress,Ewa,2012/01/31 17:01:59.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-372858362,Completed-Closed,Ewa,2012/01/31 17:06:41.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-373110819,Accepted-In Progress,Carolyn,2010/05/12 18:59:40.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-373110819,Queued-Awaiting Assignment,Carolyn,2010/05/12 19:02:27.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-373110819,Accepted-In Progress,Naga,2010/05/13 03:04:54.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-373110819,Accepted-Assigned,Carolyn,2010/05/13 03:06:49.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-373110819,Accepted-In Progress,Ewa,2012/02/03 14:48:56.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373110819,Completed-Closed,Ewa,2012/02/03 14:50:31.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373268674,Accepted-In Progress,Carolyn,2010/05/13 18:56:33.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-373268674,Queued-Awaiting Assignment,Carolyn,2010/05/13 19:05:42.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-373268674,Accepted-In Progress,Naga,2010/05/14 07:43:08.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-373268674,Accepted-Assigned,Carolyn,2010/05/14 07:50:11.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-373268674,Accepted-In Progress,Ewa,2012/02/03 14:51:00.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373268674,Completed-Closed,Ewa,2012/02/03 14:52:14.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373413519,Accepted-In Progress,Carolyn,2010/05/14 14:03:29.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-373413519,Queued-Awaiting Assignment,Carolyn,2010/05/14 14:05:48.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-373413519,Accepted-In Progress,Kannan,2010/05/14 19:18:59.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-373413519,Accepted-Assigned,Carolyn,2010/05/14 19:19:05.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-373413519,Accepted-In Progress,Ewa,2012/01/30 19:59:22.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373413519,Completed-Closed,Ewa,2012/01/30 20:00:09.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373413971,Accepted-In Progress,Carolyn,2010/05/14 16:04:31.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-373413971,Queued-Awaiting Assignment,Carolyn,2010/05/14 16:11:11.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-373413971,Accepted-In Progress,Kannan,2010/05/14 19:23:06.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-373413971,Accepted-Assigned,Carolyn,2010/05/14 19:23:10.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-373413971,Accepted-In Progress,Ewa,2012/02/03 14:54:21.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-373413971,Completed-Closed,Ewa,2012/02/04 15:48:35.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-374630866,Accepted-In Progress,Carolyn,2010/05/20 18:55:23.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-374630866,Queued-Awaiting Assignment,Carolyn,2010/05/20 19:43:22.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-374630866,Accepted-In Progress,Naga,2010/05/21 06:57:03.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-374630866,Accepted-Assigned,Carolyn,2010/05/21 06:58:48.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-374630866,Accepted-In Progress,Ewa,2012/02/03 14:52:26.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-374630866,Completed-Closed,Ewa,2012/02/03 14:54:03.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-375337251,Accepted-In Progress,Carolyn,2010/05/24 20:32:13.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-375337251,Queued-Awaiting Assignment,Carolyn,2010/05/24 20:44:34.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-375337251,Accepted-In Progress,Naga,2010/05/25 09:30:49.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-375337251,Accepted-Assigned,Carolyn,2010/05/25 09:33:22.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-375337251,Accepted-In Progress,Ewa,2012/02/03 15:42:20.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-375337251,Completed-Closed,Ewa,2012/02/03 16:13:07.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-375430388,Accepted-In Progress,Carolyn,2010/05/24 23:28:06.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-375430388,Queued-Awaiting Assignment,Carolyn,2010/05/24 23:30:59.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
1-375430388,Accepted-In Progress,Naga,2010/05/25 09:27:35.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,Sweden
1-375430388,Accepted-Assigned,Carolyn,2010/05/25 09:30:17.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD97,USA
1-375430388,Accepted-In Progress,Ewa,2012/02/04 01:54:32.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,POLAND
1-375430388,Completed-Closed,Ewa,2012/02/04 01:55:46.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD97,POLAND
1-375646314,Accepted-In Progress,Carolyn,2010/05/25 19:27:54.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-375646314,Queued-Awaiting Assignment,Carolyn,2010/05/25 19:32:07.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-375646314,Accepted-In Progress,Kannan,2010/05/25 19:55:40.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-375646314,Accepted-Assigned,Carolyn,2010/05/25 19:55:45.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-375646314,Accepted-In Progress,Ewa,2012/02/04 15:44:05.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-375646314,Completed-Closed,Ewa,2012/02/04 15:46:33.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-377276064,Accepted-In Progress,Carolyn,2010/06/02 15:21:51.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-377276064,Queued-Awaiting Assignment,Carolyn,2010/06/02 15:29:29.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-377276064,Accepted-In Progress,Kannan,2010/06/02 18:37:06.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-377276064,Accepted-Assigned,Carolyn,2010/06/02 18:37:11.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-377276064,Accepted-In Progress,Ewa,2012/01/31 16:59:47.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-377276064,Completed-Closed,Ewa,2012/01/31 17:01:20.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-377458451,Accepted-In Progress,Carolyn,2010/06/02 21:14:09.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-377458451,Queued-Awaiting Assignment,Carolyn,2010/06/02 21:16:27.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-377458451,Accepted-In Progress,Kannan,2010/06/02 21:35:15.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-377458451,Accepted-Assigned,Carolyn,2010/06/02 21:35:21.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-377458451,Accepted-In Progress,Ewa,2012/02/04 16:18:21.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-377458451,Completed-Closed,Ewa,2012/02/04 16:20:11.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-378054711,Accepted-In Progress,Carolyn,2010/06/04 23:57:53.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,USA
1-378054711,Queued-Awaiting Assignment,Carolyn,2010/06/04 23:59:45.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD96,USA
1-378054711,Accepted-In Progress,Kannan,2010/06/05 00:08:12.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,Sweden
1-378054711,Accepted-Assigned,Carolyn,2010/06/05 00:08:18.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD96,USA
1-378054711,Accepted-In Progress,Ewa,2012/01/30 19:50:40.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD96,POLAND
1-378054711,Completed-Closed,Ewa,2012/01/30 19:51:51.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD96,POLAND
1-380654568,Accepted-In Progress,Carolyn,2010/06/16 21:15:09.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-380654568,Queued-Awaiting Assignment,Carolyn,2010/06/16 21:18:36.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-380654568,Accepted-In Progress,Kannan,2010/06/16 21:29:26.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-380654568,Accepted-Assigned,Carolyn,2010/06/16 21:29:31.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-380654568,Accepted-In Progress,Ewa,2011/12/30 18:09:26.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-380654568,Completed-Closed,Ewa,2012/01/30 19:31:24.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-385311756,Accepted-In Progress,Carolyn,2010/07/08 17:42:58.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-385311756,Queued-Awaiting Assignment,Carolyn,2010/07/08 17:48:38.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-385311756,Accepted-In Progress,Kannan,2010/07/08 19:06:09.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-385311756,Accepted-Assigned,Carolyn,2010/07/08 19:06:14.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-385311756,Accepted-In Progress,Ewa,2012/02/04 17:38:18.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-385311756,Completed-Closed,Ewa,2012/02/04 17:40:10.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-388644366,Accepted-In Progress,Carolyn,2010/07/30 15:46:42.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,USA
1-388644366,Queued-Awaiting Assignment,Carolyn,2010/07/30 15:50:43.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD98,USA
1-388644366,Accepted-In Progress,Kannan,2010/07/30 20:43:09.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,Sweden
1-388644366,Accepted-Assigned,Carolyn,2010/07/30 20:43:18.000,Variant 1,1,Accepted,Medium,Assigned,Org line G3,,us,G199 3rd,PROD98,USA
1-388644366,Accepted-In Progress,Ewa,2012/01/30 22:48:15.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD98,POLAND
1-388644366,Completed-Closed,Ewa,2012/01/30 22:48:48.000,Variant 1,1,Completed,Medium,Closed,Org line G3,,us,G199 3rd,PROD98,POLAND
1-388724672,Accepted-In Progress,Carolyn,2010/07/30 19:19:33.000,Variant 1,1,Accepted,Medium,In Progress,Org line G3,,us,G199 3rd,PROD97,USA
1-388724672,Queued-Awaiting Assignment,Carolyn,2010/07/30 19:35:28.000,Variant 1,1,Queued,Medium,Awaiting Assignment,Org line G3,,us,G199 3rd,PROD97,USA
