Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,concept:name,lifecycle:transition,org:group
case-10066,T05 Print and send confirmation of receipt-complete,Resource22,2011/11/22 20:52:51.629,Variant 1,1,Internet,General,Group 5,Resource22,task-47570,T05 Print and send confirmation of receipt,complete,Group 2
case-10066,T06 Determine necessity of stop advice-complete,Resource22,2011/11/22 20:57:59.101,Variant 1,1,Internet,General,Group 5,Resource22,task-47562,T06 Determine necessity of stop advice,complete,Group 1
case-10066,T10 Determine necessity to stop indication-complete,Resource22,2011/11/22 20:59:50.916,Variant 1,1,Internet,General,Group 5,Resource22,task-47579,T10 Determine necessity to stop indication,complete,Group 1
case-10067,T06 Determine necessity of stop advice-complete,Resource13,2011/11/10 03:40:49.698,Variant 4,4,Internet,General,Group 5,Resource13,task-46130,T06 Determine necessity of stop advice,complete,Group 1
case-10067,T10 Determine necessity to stop indication-complete,Resource13,2011/11/10 03:41:13.745,Variant 4,4,Internet,General,Group 5,Resource13,task-46133,T10 Determine necessity to stop indication,complete,Group 1
case-10068,T02 Check confirmation of receipt-complete,Resource20,2011/10/20 18:40:07.912,Variant 1,1,Internet,General,Group 5,Resource06,task-43991,T02 Check confirmation of receipt,complete,Group 4
case-10068,T04 Determine confirmation of receipt-complete,Resource20,2011/10/20 18:40:31.903,Variant 1,1,Internet,General,Group 5,Resource06,task-43993,T04 Determine confirmation of receipt,complete,Group 3
case-10068,T05 Print and send confirmation of receipt-complete,Resource20,2011/10/20 18:41:02.031,Variant 1,1,Internet,General,Group 5,Resource06,task-43994,T05 Print and send confirmation of receipt,complete,Group 2
case-10068,T06 Determine necessity of stop advice-complete,Resource20,2011/10/20 18:41:28.600,Variant 1,1,Internet,General,Group 5,Resource06,task-43992,T06 Determine necessity of stop advice,complete,Group 1
case-10068,T10 Determine necessity to stop indication-complete,Resource20,2011/10/20 18:42:01.990,Variant 1,1,Internet,General,Group 5,Resource06,task-43995,T10 Determine necessity to stop indication,complete,Group 1
case-10069,T06 Determine necessity of stop advice-complete,Resource08,2011/11/07 22:14:49.848,Variant 4,4,Internet,General,Group 5,Resource08,task-45609,T06 Determine necessity of stop advice,complete,Group 1
case-10069,T10 Determine necessity to stop indication-complete,Resource08,2011/11/07 22:16:47.427,Variant 4,4,Internet,General,Group 5,Resource08,task-45612,T10 Determine necessity to stop indication,complete,Group 1
case-10070,T06 Determine necessity of stop advice-complete,Resource13,2011/11/10 02:43:50.463,Variant 6,6,Internet,General,Group 5,Resource13,task-46107,T06 Determine necessity of stop advice,complete,Group 1
case-10070,T10 Determine necessity to stop indication-complete,Resource13,2011/11/10 02:45:21.385,Variant 6,6,Internet,General,Group 5,Resource13,task-46108,T10 Determine necessity to stop indication,complete,Group 1
case-10070,T05 Print and send confirmation of receipt-complete,Resource13,2011/11/10 02:48:48.443,Variant 6,6,Internet,General,Group 5,Resource13,task-46110,T05 Print and send confirmation of receipt,complete,Group 2
case-10071,Confirmation of receipt-complete,Resource21,2011/10/19 15:56:55.204,Variant 68,68,Internet,General,Group 2,Resource21,task-43844,Confirmation of receipt,complete,Group 1
case-10071,T02 Check confirmation of receipt-complete,Resource21,2011/10/19 15:57:39.722,Variant 68,68,Internet,General,Group 2,Resource21,task-43846,T02 Check confirmation of receipt,complete,Group 4
case-10071,T04 Determine confirmation of receipt-complete,Resource21,2011/10/19 15:58:15.323,Variant 68,68,Internet,General,Group 2,Resource21,task-43848,T04 Determine confirmation of receipt,complete,Group 3
case-10071,T05 Print and send confirmation of receipt-complete,Resource21,2011/10/19 15:58:36.018,Variant 68,68,Internet,General,Group 2,Resource21,task-43849,T05 Print and send confirmation of receipt,complete,Group 2
case-10071,T06 Determine necessity of stop advice-complete,Resource21,2011/10/19 15:58:54.326,Variant 68,68,Internet,General,Group 2,Resource21,task-43847,T06 Determine necessity of stop advice,complete,Group 1
case-10071,T10 Determine necessity to stop indication-complete,Resource21,2011/10/20 20:06:59.060,Variant 68,68,Internet,General,Group 2,Resource21,task-43850,T10 Determine necessity to stop indication,complete,Group 1
case-10071,T11 Create document X request unlicensed-complete,Resource21,2012/01/18 16:48:33.680,Variant 68,68,Internet,General,Group 2,Resource21,task-44022,T11 Create document X request unlicensed,complete,Group 1
case-10071,T12 Check document X request unlicensed-complete,Resource21,2012/01/18 16:49:09.359,Variant 68,68,Internet,General,Group 2,Resource21,task-53047,T12 Check document X request unlicensed,complete,Group 4
case-10071,T14 Determine document X request unlicensed-complete,Resource21,2012/01/18 16:49:44.753,Variant 68,68,Internet,General,Group 2,Resource21,task-53049,T14 Determine document X request unlicensed,complete,Group 3
case-10071,T15 Print document X request unlicensed-complete,Resource21,2012/01/18 16:50:57.577,Variant 68,68,Internet,General,Group 2,Resource21,task-53051,T15 Print document X request unlicensed,complete,Group 2
case-10072,T02 Check confirmation of receipt-complete,Resource02,2011/10/31 18:10:03.929,Variant 1,1,Internet,General,,admin1,task-45103,T02 Check confirmation of receipt,complete,Group 4
case-10072,T04 Determine confirmation of receipt-complete,Resource02,2011/10/31 18:10:37.260,Variant 1,1,Internet,General,,admin1,task-45105,T04 Determine confirmation of receipt,complete,Group 3
case-10072,T05 Print and send confirmation of receipt-complete,Resource02,2011/10/31 18:10:54.423,Variant 1,1,Internet,General,,admin1,task-45106,T05 Print and send confirmation of receipt,complete,Group 2
case-10072,T06 Determine necessity of stop advice-complete,Resource02,2011/10/31 18:36:38.174,Variant 1,1,Internet,General,,admin1,task-45104,T06 Determine necessity of stop advice,complete,Group 1
case-10072,T10 Determine necessity to stop indication-complete,Resource02,2011/10/31 18:37:11.319,Variant 1,1,Internet,General,,admin1,task-45129,T10 Determine necessity to stop indication,complete,Group 1
case-10073,T02 Check confirmation of receipt-complete,Resource22,2011/11/29 21:40:03.247,Variant 69,69,Internet,General,Group 5,Resource22,task-48486,T02 Check confirmation of receipt,complete,Group 4
case-10073,T04 Determine confirmation of receipt-complete,Resource22,2011/11/29 21:40:32.371,Variant 69,69,Internet,General,Group 5,Resource22,task-48490,T04 Determine confirmation of receipt,complete,Group 3
case-10073,T05 Print and send confirmation of receipt-complete,Resource22,2011/11/29 21:41:12.227,Variant 69,69,Internet,General,Group 5,Resource22,task-48491,T05 Print and send confirmation of receipt,complete,Group 2
case-10073,T06 Determine necessity of stop advice-complete,Resource22,2011/11/29 21:42:10.340,Variant 69,69,Internet,General,Group 5,Resource22,task-48487,T06 Determine necessity of stop advice,complete,Group 1
case-10073,T07-1 Draft intern advice aspect 1-complete,Resource22,2011/11/30 17:53:50.203,Variant 69,69,Internet,General,Group 5,Resource22,task-48493,T07-1 Draft intern advice aspect 1,complete,Group 13
case-10073,T08 Draft and send request for advice-complete,Resource22,2011/11/30 17:54:46.581,Variant 69,69,Internet,General,Group 5,Resource22,task-48492,T08 Draft and send request for advice,complete,Group 1
case-10073,T09-1 Process or receive external advice from party 1-complete,Resource22,2011/11/30 18:02:33.530,Variant 69,69,Internet,General,Group 5,Resource22,task-48562,T09-1 Process or receive external advice from party 1,complete,Group 1
case-10073,T06 Determine necessity of stop advice-complete,Resource22,2011/11/30 18:04:28.307,Variant 69,69,Internet,General,Group 5,Resource22,task-48563,T06 Determine necessity of stop advice,complete,Group 1
case-10073,T10 Determine necessity to stop indication-complete,Resource22,2011/11/30 18:05:12.807,Variant 69,69,Internet,General,Group 5,Resource22,task-48564,T10 Determine necessity to stop indication,complete,Group 1
case-10075,Confirmation of receipt-complete,admin2,2011/10/20 17:57:52.783,Variant 9,9,Internet,Customer contact,,admin3,task-43984,Confirmation of receipt,complete,Group 1
case-10087,T02 Check confirmation of receipt-complete,Resource03,2011/10/24 21:57:45.747,Variant 1,1,Internet,General,Group 8,Resource11,task-44298,T02 Check confirmation of receipt,complete,Group 4
case-10087,T04 Determine confirmation of receipt-complete,Resource03,2011/10/24 21:58:02.043,Variant 1,1,Internet,General,Group 8,Resource11,task-44300,T04 Determine confirmation of receipt,complete,Group 3
case-10087,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/24 21:58:19.298,Variant 1,1,Internet,General,Group 8,Resource11,task-44301,T05 Print and send confirmation of receipt,complete,Group 2
case-10087,T06 Determine necessity of stop advice-complete,Resource03,2011/10/24 21:58:34.305,Variant 1,1,Internet,General,Group 8,Resource11,task-44299,T06 Determine necessity of stop advice,complete,Group 1
case-10087,T10 Determine necessity to stop indication-complete,Resource03,2011/10/24 21:58:55.006,Variant 1,1,Internet,General,Group 8,Resource11,task-44302,T10 Determine necessity to stop indication,complete,Group 1
case-10089,Confirmation of receipt-complete,Resource20,2011/10/18 22:12:35.899,Variant 70,70,Internet,General,Group 2,Resource20,task-43627,Confirmation of receipt,complete,Group 1
case-10089,T05 Print and send confirmation of receipt-complete,Resource20,2011/10/18 22:15:26.326,Variant 70,70,Internet,General,Group 2,Resource20,task-43755,T05 Print and send confirmation of receipt,complete,Group 2
case-10089,T06 Determine necessity of stop advice-complete,Resource20,2011/10/18 22:16:01.203,Variant 70,70,Internet,General,Group 2,Resource20,task-43749,T06 Determine necessity of stop advice,complete,Group 1
case-10089,T10 Determine necessity to stop indication-complete,Resource20,2011/10/18 22:16:30.526,Variant 70,70,Internet,General,Group 2,Resource20,task-43759,T10 Determine necessity to stop indication,complete,Group 1
case-10089,T11 Create document X request unlicensed-complete,admin2,2011/10/24 18:02:20.931,Variant 70,70,Internet,General,Group 2,Resource20,task-43760,T11 Create document X request unlicensed,complete,Group 1
case-10090,T02 Check confirmation of receipt-complete,Resource03,2011/10/24 22:25:48.093,Variant 1,1,Internet,General,Group 8,Resource01,task-44319,T02 Check confirmation of receipt,complete,Group 4
case-10090,T04 Determine confirmation of receipt-complete,Resource03,2011/10/24 22:26:08.810,Variant 1,1,Internet,General,Group 8,Resource01,task-44321,T04 Determine confirmation of receipt,complete,Group 3
case-10090,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/24 22:26:35.495,Variant 1,1,Internet,General,Group 8,Resource01,task-44322,T05 Print and send confirmation of receipt,complete,Group 2
case-10090,T06 Determine necessity of stop advice-complete,Resource03,2011/10/24 22:27:22.161,Variant 1,1,Internet,General,Group 8,Resource01,task-44320,T06 Determine necessity of stop advice,complete,Group 1
case-10090,T10 Determine necessity to stop indication-complete,Resource03,2011/10/24 22:27:44.390,Variant 1,1,Internet,General,Group 8,Resource01,task-44323,T10 Determine necessity to stop indication,complete,Group 1
case-10094,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 21:07:50.830,Variant 1,1,Internet,General,Group 8,Resource11,task-44511,T02 Check confirmation of receipt,complete,Group 4
case-10094,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 21:08:07.876,Variant 1,1,Internet,General,Group 8,Resource11,task-44513,T04 Determine confirmation of receipt,complete,Group 3
case-10094,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/25 21:08:27.483,Variant 1,1,Internet,General,Group 8,Resource11,task-44514,T05 Print and send confirmation of receipt,complete,Group 2
case-10094,T06 Determine necessity of stop advice-complete,Resource03,2011/10/25 21:08:48.537,Variant 1,1,Internet,General,Group 8,Resource11,task-44512,T06 Determine necessity of stop advice,complete,Group 1
case-10094,T10 Determine necessity to stop indication-complete,Resource03,2011/10/25 21:09:15.981,Variant 1,1,Internet,General,Group 8,Resource11,task-44515,T10 Determine necessity to stop indication,complete,Group 1
case-10098,T02 Check confirmation of receipt-complete,Resource03,2011/10/25 22:07:20.077,Variant 1,1,Internet,General,Group 8,Resource11,task-44538,T02 Check confirmation of receipt,complete,Group 4
case-10098,T04 Determine confirmation of receipt-complete,Resource03,2011/10/25 22:07:48.289,Variant 1,1,Internet,General,Group 8,Resource11,task-44540,T04 Determine confirmation of receipt,complete,Group 3
case-10098,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/25 22:08:23.484,Variant 1,1,Internet,General,Group 8,Resource11,task-44541,T05 Print and send confirmation of receipt,complete,Group 2
case-10098,T06 Determine necessity of stop advice-complete,Resource03,2011/10/25 22:08:54.842,Variant 1,1,Internet,General,Group 8,Resource11,task-44539,T06 Determine necessity of stop advice,complete,Group 1
case-10098,T10 Determine necessity to stop indication-complete,Resource03,2011/10/25 22:09:21.982,Variant 1,1,Internet,General,Group 8,Resource11,task-44542,T10 Determine necessity to stop indication,complete,Group 1
case-10099,T02 Check confirmation of receipt-complete,Resource03,2011/10/26 15:04:58.466,Variant 1,1,Internet,General,Group 8,Resource11,task-44588,T02 Check confirmation of receipt,complete,Group 4
case-10099,T04 Determine confirmation of receipt-complete,Resource03,2011/10/26 15:05:15.074,Variant 1,1,Internet,General,Group 8,Resource11,task-44590,T04 Determine confirmation of receipt,complete,Group 3
case-10099,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/26 15:05:29.235,Variant 1,1,Internet,General,Group 8,Resource11,task-44591,T05 Print and send confirmation of receipt,complete,Group 2
case-10099,T06 Determine necessity of stop advice-complete,Resource03,2011/10/26 15:05:43.792,Variant 1,1,Internet,General,Group 8,Resource11,task-44589,T06 Determine necessity of stop advice,complete,Group 1
case-10099,T10 Determine necessity to stop indication-complete,Resource03,2011/10/26 15:07:16.656,Variant 1,1,Internet,General,Group 8,Resource11,task-44592,T10 Determine necessity to stop indication,complete,Group 1
case-10101,T02 Check confirmation of receipt-complete,Resource03,2011/10/26 17:45:23.672,Variant 1,1,Internet,General,Group 8,Resource11,task-44664,T02 Check confirmation of receipt,complete,Group 4
case-10101,T04 Determine confirmation of receipt-complete,Resource03,2011/10/26 17:45:54.899,Variant 1,1,Internet,General,Group 8,Resource11,task-44666,T04 Determine confirmation of receipt,complete,Group 3
case-10101,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/26 17:46:16.939,Variant 1,1,Internet,General,Group 8,Resource11,task-44667,T05 Print and send confirmation of receipt,complete,Group 2
case-10101,T06 Determine necessity of stop advice-complete,Resource03,2011/10/26 17:46:40.098,Variant 1,1,Internet,General,Group 8,Resource11,task-44665,T06 Determine necessity of stop advice,complete,Group 1
case-10101,T10 Determine necessity to stop indication-complete,Resource03,2011/10/26 17:47:15.161,Variant 1,1,Internet,General,Group 8,Resource11,task-44668,T10 Determine necessity to stop indication,complete,Group 1
case-10102,T04 Determine confirmation of receipt-complete,Resource02,2011/10/27 19:46:49.205,Variant 11,11,Internet,General,Group 5,Resource02,task-44912,T04 Determine confirmation of receipt,complete,Group 3
case-10102,T05 Print and send confirmation of receipt-complete,admin1,2011/10/27 21:11:16.295,Variant 11,11,Internet,General,Group 5,Resource02,task-44913,T05 Print and send confirmation of receipt,complete,Group 2
case-10102,T06 Determine necessity of stop advice-complete,Resource02,2011/11/17 15:13:20.068,Variant 11,11,Internet,General,Group 5,Resource02,task-43961,T06 Determine necessity of stop advice,complete,Group 1
case-10102,T10 Determine necessity to stop indication-complete,Resource02,2011/11/17 15:14:21.708,Variant 11,11,Internet,General,Group 5,Resource02,task-46924,T10 Determine necessity to stop indication,complete,Group 1
case-10103,T02 Check confirmation of receipt-complete,Resource02,2011/11/15 14:20:38.880,Variant 1,1,Internet,General,Group 5,Resource02,task-46638,T02 Check confirmation of receipt,complete,Group 4
case-10103,T04 Determine confirmation of receipt-complete,Resource02,2011/11/15 14:21:00.327,Variant 1,1,Internet,General,Group 5,Resource02,task-46640,T04 Determine confirmation of receipt,complete,Group 3
case-10103,T05 Print and send confirmation of receipt-complete,Resource02,2011/11/15 14:21:22.524,Variant 1,1,Internet,General,Group 5,Resource02,task-46641,T05 Print and send confirmation of receipt,complete,Group 2
case-10103,T06 Determine necessity of stop advice-complete,Resource02,2011/11/15 14:42:16.335,Variant 1,1,Internet,General,Group 5,Resource02,task-46639,T06 Determine necessity of stop advice,complete,Group 1
case-10103,T10 Determine necessity to stop indication-complete,Resource02,2011/11/15 14:42:43.828,Variant 1,1,Internet,General,Group 5,Resource02,task-46642,T10 Determine necessity to stop indication,complete,Group 1
case-10105,T02 Check confirmation of receipt-complete,Resource03,2011/10/26 20:46:05.211,Variant 1,1,Internet,General,Group 8,Resource11,task-44690,T02 Check confirmation of receipt,complete,Group 4
case-10105,T04 Determine confirmation of receipt-complete,Resource03,2011/10/26 20:46:20.612,Variant 1,1,Internet,General,Group 8,Resource11,task-44692,T04 Determine confirmation of receipt,complete,Group 3
case-10105,T05 Print and send confirmation of receipt-complete,Resource03,2011/10/26 20:46:39.019,Variant 1,1,Internet,General,Group 8,Resource11,task-44693,T05 Print and send confirmation of receipt,complete,Group 2
case-10105,T06 Determine necessity of stop advice-complete,Resource03,2011/10/26 20:46:55.969,Variant 1,1,Internet,General,Group 8,Resource11,task-44691,T06 Determine necessity of stop advice,complete,Group 1
case-10105,T10 Determine necessity to stop indication-complete,Resource03,2011/10/26 20:47:17.500,Variant 1,1,Internet,General,Group 8,Resource11,task-44694,T10 Determine necessity to stop indication,complete,Group 1
case-10120,T02 Check confirmation of receipt-complete,Resource05,2011/10/25 15:57:00.379,Variant 26,26,Internet,General,Group 5,Resource05,task-44401,T02 Check confirmation of receipt,complete,Group 4
case-10120,T05 Print and send confirmation of receipt-complete,Resource05,2011/10/25 17:34:46.250,Variant 26,26,Internet,General,Group 5,Resource05,task-44423,T05 Print and send confirmation of receipt,complete,Group 2
case-10120,T06 Determine necessity of stop advice-complete,Resource05,2011/10/25 17:35:58.954,Variant 26,26,Internet,General,Group 5,Resource05,task-44402,T06 Determine necessity of stop advice,complete,Group 1
case-10120,T10 Determine necessity to stop indication-complete,Resource05,2011/10/25 19:45:05.459,Variant 26,26,Internet,General,Group 5,Resource05,task-44424,T10 Determine necessity to stop indication,complete,Group 1
case-10127,T02 Check confirmation of receipt-complete,Resource06,2011/10/27 14:38:11.536,Variant 1,1,Internet,General,Group 5,Resource06,task-44809,T02 Check confirmation of receipt,complete,Group 4
case-10127,T04 Determine confirmation of receipt-complete,Resource06,2011/10/27 14:38:39.137,Variant 1,1,Internet,General,Group 5,Resource06,task-44811,T04 Determine confirmation of receipt,complete,Group 3
case-10127,T05 Print and send confirmation of receipt-complete,Resource06,2011/10/27 14:39:02.930,Variant 1,1,Internet,General,Group 5,Resource06,task-44812,T05 Print and send confirmation of receipt,complete,Group 2
case-10127,T06 Determine necessity of stop advice-complete,Resource06,2011/10/27 14:39:43.531,Variant 1,1,Internet,General,Group 5,Resource06,task-44810,T06 Determine necessity of stop advice,complete,Group 1
