Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-3766,T04 Determine confirmation of receipt,Resource19,2010/10/06 17:12:49.541,Variant 1,1,Desk,Experts,,Resource08,task-86,complete,EMPTY
case-3766,T05 Print and send confirmation of receipt,Resource08,2010/10/07 23:16:55.755,Variant 1,1,Desk,Experts,,Resource08,task-96,complete,Group 2
case-4000,Confirmation of receipt,Resource17,2010/11/04 20:45:14.018,Variant 1,1,Internet,Experts,,Resource17,task-325,complete,Group 1
case-4000,T06 Determine necessity of stop advice,Resource17,2010/11/04 20:45:48.226,Variant 1,1,Internet,Experts,,Resource17,task-891,complete,Group 1
case-4000,T10 Determine necessity to stop indication,Resource17,2010/11/04 20:46:07.945,Variant 1,1,Internet,Experts,,Resource17,task-892,complete,Group 1
case-4000,T02 Check confirmation of receipt,Resource04,2010/11/18 19:35:48.552,Variant 1,1,Internet,Experts,,Resource17,task-890,complete,EMPTY
case-4000,T03 Adjust confirmation of receipt,Resource17,2010/11/18 19:40:05.522,Variant 1,1,Internet,Experts,,Resource17,task-1630,complete,Group 1
case-4000,T02 Check confirmation of receipt,Resource04,2010/11/18 19:44:34.458,Variant 1,1,Internet,Experts,,Resource17,task-1631,complete,EMPTY
case-4000,T04 Determine confirmation of receipt,Resource10,2010/11/24 20:14:28.576,Variant 1,1,Internet,Experts,,Resource17,task-1633,complete,Group 3
case-4000,T05 Print and send confirmation of receipt,admin1,2010/11/30 18:26:54.924,Variant 1,1,Internet,Experts,,Resource17,task-1966,complete,Group 2
case-4025,Confirmation of receipt,Resource11,2010/11/02 00:05:27.606,Variant 1,1,Post,General,,Resource07,task-370,complete,Group 1
case-4025,T06 Determine necessity of stop advice,Resource11,2010/11/02 00:05:48.091,Variant 1,1,Post,General,,Resource07,task-676,complete,Group 1
case-4025,T10 Determine necessity to stop indication,Resource11,2010/11/02 00:06:29.816,Variant 1,1,Post,General,,Resource07,task-677,complete,Group 1
case-4025,T02 Check confirmation of receipt,Resource11,2010/11/02 00:06:53.096,Variant 1,1,Post,General,,Resource07,task-675,complete,Group 4
case-4025,T03 Adjust confirmation of receipt,Resource07,2010/12/02 19:03:09.970,Variant 1,1,Post,General,,Resource07,task-679,complete,Group 1
case-4025,T02 Check confirmation of receipt,Resource07,2010/12/02 19:03:48.065,Variant 1,1,Post,General,,Resource07,task-2615,complete,Group 4
case-4025,T04 Determine confirmation of receipt,Resource07,2010/12/02 19:04:10.288,Variant 1,1,Post,General,,Resource07,task-2616,complete,Group 3
case-4025,T05 Print and send confirmation of receipt,admin1,2010/12/02 19:10:12.758,Variant 1,1,Post,General,,Resource07,task-2617,complete,Group 2
case-4057,Confirmation of receipt,Resource11,2010/11/03 16:29:21.044,Variant 1,1,e-mail,General,,Resource07,task-451,complete,Group 1
case-4057,T06 Determine necessity of stop advice,Resource11,2010/11/03 16:29:43.407,Variant 1,1,e-mail,General,,Resource07,task-741,complete,Group 1
case-4057,T10 Determine necessity to stop indication,Resource11,2010/11/03 16:34:41.207,Variant 1,1,e-mail,General,,Resource07,task-742,complete,Group 1
case-4057,T02 Check confirmation of receipt,Resource11,2010/11/03 16:43:45.093,Variant 1,1,e-mail,General,,Resource07,task-740,complete,Group 4
case-4057,T03 Adjust confirmation of receipt,Resource11,2010/11/03 16:52:15.597,Variant 1,1,e-mail,General,,Resource07,task-750,complete,Group 1
case-4057,T02 Check confirmation of receipt,Resource19,2010/11/04 19:25:04.170,Variant 1,1,e-mail,General,,Resource07,task-754,complete,EMPTY
case-4057,T04 Determine confirmation of receipt,Resource10,2010/11/11 23:56:32.965,Variant 1,1,e-mail,General,,Resource07,task-851,complete,Group 3
case-4057,T05 Print and send confirmation of receipt,admin1,2010/11/16 19:06:20.910,Variant 1,1,e-mail,General,,Resource07,task-1403,complete,Group 2
case-4117,Confirmation of receipt,Resource11,2010/11/26 00:19:58.537,Variant 1,1,Internet,General,,Resource34,task-564,complete,EMPTY
case-4117,T06 Determine necessity of stop advice,Resource11,2010/11/26 00:24:57.419,Variant 1,1,Internet,General,,Resource34,task-2053,complete,Group 1
case-4117,T10 Determine necessity to stop indication,Resource11,2010/11/26 00:31:09.270,Variant 1,1,Internet,General,,Resource34,task-2054,complete,Group 1
case-4117,T02 Check confirmation of receipt,Resource19,2010/11/26 18:29:43.743,Variant 1,1,Internet,General,,Resource34,task-2052,complete,EMPTY
case-4117,T03 Adjust confirmation of receipt,Resource11,2010/11/29 17:04:51.772,Variant 1,1,Internet,General,,Resource34,task-2119,complete,Group 1
case-4117,T02 Check confirmation of receipt,Resource11,2010/11/30 16:53:13.904,Variant 1,1,Internet,General,,Resource34,task-2202,complete,EMPTY
case-4117,T04 Determine confirmation of receipt,Resource11,2010/12/09 22:38:51.711,Variant 1,1,Internet,General,,Resource34,task-2278,complete,EMPTY
case-4117,T05 Print and send confirmation of receipt,Resource34,2010/12/10 18:11:23.508,Variant 1,1,Internet,General,,Resource34,task-3486,complete,Group 2
case-4924,Confirmation of receipt,Resource09,2011/01/18 21:53:37.525,Variant 1,1,Desk,General,,Resource09,task-5422,complete,EMPTY
case-4924,T06 Determine necessity of stop advice,Resource09,2011/01/18 21:54:37.901,Variant 1,1,Desk,General,,Resource09,task-8800,complete,Group 1
case-4924,T10 Determine necessity to stop indication,Resource09,2011/01/18 21:55:08.036,Variant 1,1,Desk,General,,Resource09,task-8801,complete,Group 1
case-4924,T02 Check confirmation of receipt,Resource24,2011/02/08 00:33:18.597,Variant 1,1,Desk,General,,Resource09,task-8799,complete,EMPTY
case-4924,T03 Adjust confirmation of receipt,Resource09,2011/02/09 23:00:41.522,Variant 1,1,Desk,General,,Resource09,task-11299,complete,Group 1
case-4924,T02 Check confirmation of receipt,Resource10,2011/02/10 00:06:11.727,Variant 1,1,Desk,General,,Resource09,task-11518,complete,Group 4
case-4924,T04 Determine confirmation of receipt,Resource10,2011/02/10 00:06:28.296,Variant 1,1,Desk,General,,Resource09,task-11527,complete,Group 3
case-4924,T05 Print and send confirmation of receipt,admin1,2011/02/11 17:38:09.108,Variant 1,1,Desk,General,,Resource09,task-11528,complete,Group 2
case-5275,Confirmation of receipt,Resource18,2011/01/15 01:03:09.840,Variant 1,1,Internet,General,,Resource18,task-7909,complete,EMPTY
case-5275,T06 Determine necessity of stop advice,Resource18,2011/01/17 18:06:42.726,Variant 1,1,Internet,General,,Resource18,task-8452,complete,Group 1
case-5275,T10 Determine necessity to stop indication,Resource18,2011/01/17 18:09:14.670,Variant 1,1,Internet,General,,Resource18,task-8480,complete,Group 1
case-5275,T02 Check confirmation of receipt,Resource24,2011/01/17 22:47:49.460,Variant 1,1,Internet,General,,Resource18,task-8451,complete,EMPTY
case-5275,T03 Adjust confirmation of receipt,Resource18,2011/01/20 22:39:54.930,Variant 1,1,Internet,General,,Resource18,task-8634,complete,Group 1
case-5275,T02 Check confirmation of receipt,Resource18,2011/01/20 22:40:10.916,Variant 1,1,Internet,General,,Resource18,task-9078,complete,Group 4
case-5275,T04 Determine confirmation of receipt,Resource18,2011/01/20 22:41:34.147,Variant 1,1,Internet,General,,Resource18,task-9079,complete,Group 3
case-5275,T05 Print and send confirmation of receipt,admin1,2011/01/24 20:04:54.827,Variant 1,1,Internet,General,,Resource18,task-9080,complete,Group 2
case-6719,Confirmation of receipt,Resource06,2011/04/11 18:15:48.048,Variant 1,1,Internet,General,,Resource06,task-18043,complete,EMPTY
case-6719,T06 Determine necessity of stop advice,Resource06,2011/04/11 18:16:23.586,Variant 1,1,Internet,General,,Resource06,task-19787,complete,Group 1
case-6719,T10 Determine necessity to stop indication,Resource06,2011/04/11 18:16:38.759,Variant 1,1,Internet,General,,Resource06,task-19788,complete,Group 1
case-6719,T02 Check confirmation of receipt,Resource24,2011/04/13 16:55:44.464,Variant 1,1,Internet,General,,Resource06,task-19786,complete,EMPTY
case-6719,T03 Adjust confirmation of receipt,Resource06,2011/05/10 23:54:29.275,Variant 1,1,Internet,General,,Resource06,task-20132,complete,Group 1
case-6719,T02 Check confirmation of receipt,Resource06,2011/05/10 23:57:16.410,Variant 1,1,Internet,General,,Resource06,task-24317,complete,Group 4
case-6719,T04 Determine confirmation of receipt,Resource06,2011/05/10 23:57:28.404,Variant 1,1,Internet,General,,Resource06,task-24319,complete,Group 3
case-6719,T05 Print and send confirmation of receipt,Resource06,2011/05/10 23:57:42.891,Variant 1,1,Internet,General,,Resource06,task-24320,complete,Group 2
case-4011,Confirmation of receipt,Resource11,2010/11/08 18:18:09.532,Variant 5,5,Internet,General,,Resource07,task-349,complete,EMPTY
case-4011,T06 Determine necessity of stop advice,Resource11,2010/11/08 18:18:29.688,Variant 5,5,Internet,General,,Resource07,task-1082,complete,Group 1
case-4011,T10 Determine necessity to stop indication,Resource11,2010/11/08 18:18:55.857,Variant 5,5,Internet,General,,Resource07,task-1083,complete,Group 1
case-4011,T02 Check confirmation of receipt,Resource32,2010/11/09 17:13:59.914,Variant 5,5,Internet,General,,Resource07,task-1081,complete,EMPTY
case-4011,T03 Adjust confirmation of receipt,Resource11,2010/11/29 23:58:20.142,Variant 5,5,Internet,General,,Resource07,task-1222,complete,Group 1
case-4011,T02 Check confirmation of receipt,Resource11,2010/11/30 00:05:45.486,Variant 5,5,Internet,General,,Resource07,task-2250,complete,Group 4
case-4011,T03 Adjust confirmation of receipt,Resource07,2010/12/10 17:26:07.397,Variant 5,5,Internet,General,,Resource07,task-2258,complete,Group 1
case-4011,T02 Check confirmation of receipt,Resource07,2010/12/10 17:27:33.436,Variant 5,5,Internet,General,,Resource07,task-3534,complete,Group 4
case-4011,T04 Determine confirmation of receipt,Resource07,2010/12/10 17:28:24.637,Variant 5,5,Internet,General,,Resource07,task-3535,complete,Group 3
case-4011,T05 Print and send confirmation of receipt,Resource07,2010/12/10 17:28:35.351,Variant 5,5,Internet,General,,Resource07,task-3536,complete,Group 2
case-4100,Confirmation of receipt,Resource09,2010/11/04 20:46:41.738,Variant 6,6,Internet,General,,Resource09,task-546,complete,Group 1
case-4100,T06 Determine necessity of stop advice,Resource09,2010/11/04 20:49:30.047,Variant 6,6,Internet,General,,Resource09,task-899,complete,Group 1
case-4100,T07-5 Draft intern advice aspect 5,Resource09,2010/11/04 20:56:08.505,Variant 6,6,Internet,General,,Resource09,task-901,complete,Group 1
case-4100,T06 Determine necessity of stop advice,Resource09,2010/11/04 20:58:11.677,Variant 6,6,Internet,General,,Resource09,task-906,complete,Group 1
case-4100,T10 Determine necessity to stop indication,Resource09,2010/11/04 20:58:44.612,Variant 6,6,Internet,General,,Resource09,task-909,complete,Group 1
case-4100,T02 Check confirmation of receipt,Resource24,2010/11/04 23:03:18.938,Variant 6,6,Internet,General,,Resource09,task-898,complete,EMPTY
case-4100,T03 Adjust confirmation of receipt,Resource09,2010/11/04 23:50:14.865,Variant 6,6,Internet,General,,Resource09,task-945,complete,Group 1
case-4100,T02 Check confirmation of receipt,Resource09,2010/11/05 00:41:35.618,Variant 6,6,Internet,General,,Resource09,task-966,complete,Group 4
case-4100,T03 Adjust confirmation of receipt,Resource09,2010/11/05 00:44:28.309,Variant 6,6,Internet,General,,Resource09,task-994,complete,Group 1
case-4100,T02 Check confirmation of receipt,Resource10,2010/11/16 22:28:40.803,Variant 6,6,Internet,General,,Resource09,task-995,complete,Group 4
case-4100,T04 Determine confirmation of receipt,Resource19,2010/11/17 22:45:24.748,Variant 6,6,Internet,General,,Resource09,task-1530,complete,EMPTY
case-4100,T05 Print and send confirmation of receipt,admin1,2010/11/22 23:06:25.987,Variant 6,6,Internet,General,,Resource09,task-1581,complete,Group 2
case-4185,Confirmation of receipt,Resource11,2010/12/02 17:11:39.624,Variant 7,7,Internet,Customer contact,,Resource11,task-782,complete,EMPTY
case-4185,T06 Determine necessity of stop advice,Resource11,2010/12/02 17:11:57.582,Variant 7,7,Internet,Customer contact,,Resource11,task-2568,complete,Group 1
case-4185,T10 Determine necessity to stop indication,Resource11,2010/12/02 17:13:55.406,Variant 7,7,Internet,Customer contact,,Resource11,task-2569,complete,Group 1
case-4185,T02 Check confirmation of receipt,Resource11,2010/12/02 17:20:08.769,Variant 7,7,Internet,Customer contact,,Resource11,task-2567,complete,Group 4
case-4185,T03 Adjust confirmation of receipt,Resource11,2010/12/02 17:21:46.572,Variant 7,7,Internet,Customer contact,,Resource11,task-2573,complete,Group 1
case-4185,T02 Check confirmation of receipt,Resource11,2010/12/02 17:27:20.046,Variant 7,7,Internet,Customer contact,,Resource11,task-2575,complete,EMPTY
case-4185,T03 Adjust confirmation of receipt,Resource11,2010/12/02 17:27:39.920,Variant 7,7,Internet,Customer contact,,Resource11,task-2576,complete,Group 1
case-4185,T02 Check confirmation of receipt,Resource11,2010/12/02 17:28:03.007,Variant 7,7,Internet,Customer contact,,Resource11,task-2577,complete,Group 4
case-4185,T04 Determine confirmation of receipt,Resource11,2010/12/02 17:28:43.868,Variant 7,7,Internet,Customer contact,,Resource11,task-2578,complete,EMPTY
case-4185,T03 Adjust confirmation of receipt,Resource11,2010/12/02 17:29:00.825,Variant 7,7,Internet,Customer contact,,Resource11,task-2579,complete,Group 1
case-4185,T02 Check confirmation of receipt,Resource11,2010/12/08 23:31:19.493,Variant 7,7,Internet,Customer contact,,Resource11,task-2580,complete,EMPTY
case-4185,T04 Determine confirmation of receipt,Resource11,2010/12/08 23:36:17.802,Variant 7,7,Internet,Customer contact,,Resource11,task-3361,complete,Group 3
case-4185,T05 Print and send confirmation of receipt,admin1,2010/12/10 22:57:18.174,Variant 7,7,Internet,Customer contact,,Resource11,task-3363,complete,Group 2
case-5141,Confirmation of receipt,Resource09,2011/01/20 00:05:04.530,Variant 8,8,Internet,General,,Resource09,task-6816,complete,EMPTY
case-5141,T06 Determine necessity of stop advice,Resource09,2011/01/20 00:05:33.840,Variant 8,8,Internet,General,,Resource09,task-8972,complete,Group 1
case-5141,T10 Determine necessity to stop indication,Resource09,2011/01/20 00:06:03.508,Variant 8,8,Internet,General,,Resource09,task-8973,complete,Group 1
case-5141,T02 Check confirmation of receipt,Resource24,2011/02/08 00:31:47.396,Variant 8,8,Internet,General,,Resource09,task-8971,complete,EMPTY
case-5141,T03 Adjust confirmation of receipt,Resource09,2011/03/21 21:08:33.771,Variant 8,8,Internet,General,,Resource09,task-11298,complete,Group 1
case-5141,T02 Check confirmation of receipt,Resource09,2011/03/21 22:11:10.252,Variant 8,8,Internet,General,,Resource09,task-16955,complete,Group 4
case-5141,T03 Adjust confirmation of receipt,Resource09,2011/03/21 22:14:54.468,Variant 8,8,Internet,General,,Resource09,task-17007,complete,Group 1
case-5141,T02 Check confirmation of receipt,Resource09,2011/03/21 22:16:27.307,Variant 8,8,Internet,General,,Resource09,task-17020,complete,Group 4
case-5141,T03 Adjust confirmation of receipt,Resource09,2011/03/21 22:51:17.484,Variant 8,8,Internet,General,,Resource09,task-17021,complete,Group 1
case-5141,T02 Check confirmation of receipt,Resource09,2011/03/21 22:53:05.298,Variant 8,8,Internet,General,,Resource09,task-17036,complete,Group 4
case-5141,T04 Determine confirmation of receipt,Resource09,2011/03/21 22:53:23.131,Variant 8,8,Internet,General,,Resource09,task-17038,complete,Group 3
case-5141,T05 Print and send confirmation of receipt,Resource09,2011/03/21 22:53:37.981,Variant 8,8,Internet,General,,Resource09,task-17039,complete,Group 2
case-10017,Confirmation of receipt,Resource30,2011/10/18 21:46:39.679,Variant 9,9,Internet,General,Group 5,Resource04,task-43021,complete,EMPTY
case-10017,T06 Determine necessity of stop advice,Resource30,2011/10/18 21:47:06.950,Variant 9,9,Internet,General,Group 5,Resource04,task-43672,complete,Group 1
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:47:26.235,Variant 9,9,Internet,General,Group 5,Resource04,task-43671,complete,Group 4
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 21:47:41.811,Variant 9,9,Internet,General,Group 5,Resource04,task-43674,complete,Group 1
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:47:57.979,Variant 9,9,Internet,General,Group 5,Resource04,task-43675,complete,Group 4
case-10017,T10 Determine necessity to stop indication,Resource30,2011/10/18 21:48:15.357,Variant 9,9,Internet,General,Group 5,Resource04,task-43673,complete,Group 1
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 21:48:30.632,Variant 9,9,Internet,General,Group 5,Resource04,task-43676,complete,Group 1
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 21:51:01.525,Variant 9,9,Internet,General,Group 5,Resource04,task-43679,complete,Group 4
case-10017,T03 Adjust confirmation of receipt,admin2,2011/10/18 21:56:57.603,Variant 9,9,Internet,General,Group 5,Resource04,task-43686,complete,Group 1
case-3818,Confirmation of receipt,Resource12,2010/10/18 17:24:27.073,Variant 10,10,Internet,General,,Resource12,task-128,complete,Group 1
case-3818,T06 Determine necessity of stop advice,Resource12,2010/10/18 18:45:17.970,Variant 10,10,Internet,General,,Resource12,task-273,complete,Group 1
case-3818,T02 Check confirmation of receipt,Resource26,2010/10/18 19:25:15.229,Variant 10,10,Internet,General,,Resource12,task-272,complete,EMPTY
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/18 20:27:27.873,Variant 10,10,Internet,General,,Resource12,task-277,complete,Group 1
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/20 20:18:19.102,Variant 10,10,Internet,General,,Resource12,task-280,complete,EMPTY
case-3818,T07-5 Draft intern advice aspect 5,Resource12,2010/10/21 16:14:04.349,Variant 10,10,Internet,General,,Resource12,task-275,complete,Group 1
case-3818,T06 Determine necessity of stop advice,Resource12,2010/10/21 16:36:37.616,Variant 10,10,Internet,General,,Resource12,task-333,complete,Group 1
case-3818,T10 Determine necessity to stop indication,Resource12,2010/10/21 16:37:49.327,Variant 10,10,Internet,General,,Resource12,task-334,complete,Group 1
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/21 17:23:05.590,Variant 10,10,Internet,General,,Resource12,task-312,complete,Group 1
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/21 19:40:14.028,Variant 10,10,Internet,General,,Resource12,task-350,complete,EMPTY
case-3818,T03 Adjust confirmation of receipt,Resource12,2010/10/21 19:47:50.697,Variant 10,10,Internet,General,,Resource12,task-358,complete,Group 1
case-3818,T02 Check confirmation of receipt,Resource24,2010/10/21 19:50:06.814,Variant 10,10,Internet,General,,Resource12,task-359,complete,EMPTY
case-3818,T04 Determine confirmation of receipt,Resource10,2010/10/22 21:21:52.847,Variant 10,10,Internet,General,,Resource12,task-360,complete,Group 3
case-3818,T05 Print and send confirmation of receipt,Resource20,2010/10/25 19:52:01.185,Variant 10,10,Internet,General,,Resource12,task-432,complete,Group 2
